fields,supports,top100,top200,diff
citPA2017 <= 10.10 AND pub2016 <= 4482.00,"['0.06', '0.42']",0.06,0.42,-0.36
pubTJP2018 > 38.70 AND pub2018 <= 8184.50 AND acaCol2016 <= 7.50,"['0.28', '0.43']",0.28,0.43,-0.14999999999999997
pub2018 <= 8184.50 AND pub2016 > 3802.50 AND pubPA2016 <= 1.19,"['0.26', '0.43']",0.26,0.43,-0.16999999999999998
cit2018 <= 35720.00 AND citPA2017 <= 9.83 AND intCol2018 > 40.75,"['0.04', '0.43']",0.04,0.43,-0.39
pubTJP2018 <= 38.70 AND pub2018 <= 7392.50 AND acaCol2017 > 1.45,"['0.04', '0.43']",0.04,0.43,-0.39
pub2018 <= 8184.50 AND citPA2018 <= 5.45 AND pub2018 > 3850.50,"['0.26', '0.43']",0.26,0.43,-0.16999999999999998
pub2018 <= 8184.50 AND citPA2018 <= 5.45 AND authors2018 <= 4157.00,"['0.08', '0.43']",0.08,0.43,-0.35
cit2017 <= 75794.50 AND pubTJP2018 <= 42.85 AND cit2018 <= 17477.50,"['0.07', '0.43']",0.07,0.43,-0.36
pub2017 <= 7940.00 AND pubTJP2016 <= 43.85 AND cit2017 <= 36853.00,"['0.06', '0.43']",0.06,0.43,-0.37
pub2017 <= 7940.00 AND pubTJP2016 <= 43.85 AND cit2017 <= 36853.00,"['0.06', '0.43']",0.06,0.43,-0.37
pub2018 <= 8184.50 AND citPA2018 <= 5.45 AND cit2016 <= 49470.50,"['0.07', '0.43']",0.07,0.43,-0.36
pubTJP2018 > 38.70 AND pub2017 <= 7940.00 AND citPA2017 <= 12.63,"['0.29', '0.43']",0.29,0.43,-0.14
cit2017 <= 75794.50 AND pubTJP2018 <= 42.85 AND pub2017 <= 4222.50,"['0.06', '0.43']",0.06,0.43,-0.37
pubTJP2018 <= 38.70 AND pub2016 <= 6225.50 AND citPA2016 > 5.62,"['0.03', '0.43']",0.03,0.43,-0.4
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85 AND cit2017 <= 36853.00,"['0.06', '0.43']",0.06,0.43,-0.37
pubTJP2018 > 38.70 AND cit2016 <= 117378.00 AND acaCol2016 <= 7.50,"['0.28', '0.43']",0.28,0.43,-0.14999999999999997
citPA2016 <= 14.79 AND intCol2017 > 37.25 AND pubPA2016 <= 1.21,"['0.04', '0.43']",0.04,0.43,-0.39
authors2017 <= 7050.50 AND pubPA2018 > 1.05 AND citPA2017 <= 12.26,"['0.21', '0.43']",0.21,0.43,-0.22
authors2017 <= 7050.50 AND intCol2016 <= 66.15 AND pub2018 > 3850.50,"['0.29', '0.43']",0.29,0.43,-0.14
citPP2017 <= 10.15 AND cit2016 <= 107115.50 AND pub2017 > 3859.00,"['0.26', '0.43']",0.26,0.43,-0.16999999999999998
authors2016 <= 6535.50 AND pubTJP2017 <= 47.15 AND pubTJP2018 <= 38.85,"['0.05', '0.43']",0.05,0.43,-0.38
cit2017 <= 75794.50 AND cit2017 > 33596.00 AND pubPA2017 <= 1.16,"['0.21', '0.43']",0.21,0.43,-0.22
pubTJP2018 > 38.70 AND pub2018 <= 8184.50 AND pubTJP2017 <= 47.65,"['0.28', '0.43']",0.28,0.43,-0.14999999999999997
pub2018 <= 8184.50 AND citPA2018 <= 5.45 AND pub2018 > 3850.50,"['0.26', '0.43']",0.26,0.43,-0.16999999999999998
authors2017 <= 7050.50 AND pubPA2018 > 1.05 AND citPA2017 <= 12.26,"['0.21', '0.43']",0.21,0.43,-0.22
pubTJP2018 <= 38.70 AND pub2018 <= 7392.50 AND acaCol2017 > 1.45,"['0.04', '0.43']",0.04,0.43,-0.39
pubTJP2018 <= 38.70 AND cit2018 <= 41869.00 AND authors2016 <= 6632.00,"['0.05', '0.43']",0.05,0.43,-0.38
cit2018 <= 35720.00 AND citPA2017 <= 9.83 AND intCol2018 > 40.75,"['0.04', '0.43']",0.04,0.43,-0.39
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85 AND cit2017 <= 36853.00,"['0.06', '0.43']",0.06,0.43,-0.37
pubTJP2018 <= 38.70 AND pub2017 <= 6219.50 AND h5Index > 25.00,"['0.04', '0.43']",0.04,0.43,-0.39
cit2017 <= 75794.50 AND pubTJP2018 <= 42.85 AND cit2018 <= 17477.50,"['0.07', '0.43']",0.07,0.43,-0.36
pub2017 <= 7940.00 AND pub2016 <= 3802.50 AND pubTJP2018 <= 46.20,"['0.05', '0.43']",0.05,0.43,-0.38
pub2017 <= 7940.00 AND pub2016 > 3802.50 AND pubPA2016 <= 1.19,"['0.26', '0.43']",0.26,0.43,-0.16999999999999998
authors2016 <= 6535.50 AND pubTJP2016 <= 43.85 AND h5Index > 91.50,"['0.16', '0.44']",0.16,0.44,-0.28
cit2016 <= 107650.00 AND pubPA2017 <= 1.33 AND pub2016 <= 3802.50,"['0.07', '0.44']",0.07,0.44,-0.37
pubTJP2017 <= 47.65 AND pub2017 <= 7647.00 AND cit2017 <= 33695.50,"['0.07', '0.44']",0.07,0.44,-0.37
cit2016 <= 107650.00 AND citPA2017 <= 9.83 AND pub2016 <= 4733.50,"['0.05', '0.44']",0.05,0.44,-0.39
