University,intCol2018,intCol2017,intCol2016,acaCol2018,acaCol2017,acaCol2016,pub2018,pub2017,pub2016,cit2018,cit2017,cit2016,fwCitImp2018,fwCitImp2017,fwCitImp2016,pubTCP2018,pubTCP2017,pubTCP2016,pubTJP2018,pubTJP2017,pubTJP2016,citPP2018,citPP2017,citPP2016,authors2018,authors2017,authors2016,citPA2018,citPA2017,citPA2016,pubPA2018,pubPA2017,pubPA2016,h5Index,class
"University of Wisconsin-Madison",36.9,34.4,33.7,4.4,5.1,4.6,8958,8895,8728,36737,77683,117688,1.69,1.78,1.84,20.1,22.4,22.5,43.3,45.5,46.1,4.1,8.7,13.5,9174,9194,9086,4.004469152,8.449314771,12.95267444,0.976455199,0.967478791,0.960598723,170,1
"Brown University",34.5,32.5,32.4,3.3,4,4.6,4690,4443,4246,21470,43557,70347,1.97,2.15,2.3,17.6,21.6,22,39.5,44.6,44.2,4.6,9.8,16.6,4177,3926,3743,5.140052669,11.09449822,18.79428266,1.122815418,1.131686195,1.134384184,139,1
"Monash University",55.2,51.7,50.8,2.8,2.9,2.9,10300,9555,8854,44432,91194,136590,1.8,1.88,2.06,20.6,21.8,22.1,39.5,42.5,41.4,4.3,9.5,15.4,8203,7674,7126,5.416554919,11.88350274,19.16783609,1.255638181,1.24511337,1.242492282,173,1
"Tokyo Institute of Technology",36.8,33.2,31.6,7.4,8.2,9,3863,3864,3819,11930,23338,37586,1.16,1.15,1.21,14.9,15.4,15.6,34.7,35.5,36.7,3.1,6,9.8,3613,3490,3501,3.301965126,6.687106017,10.73578977,1.069194575,1.107163324,1.090831191,94,1
"Ecole Polytechnique",69.5,69.1,67.4,8.4,9.3,9.4,1924,1885,1786,9058,19831,25836,1.64,1.82,1.72,23.5,26,24.1,46.8,49.4,47,4.7,10.5,14.5,1653,1697,1686,5.479733817,11.68591632,15.32384342,1.163944344,1.110783736,1.059311981,103,1
"Shanghai Jiao Tong University",29.4,28.5,27.8,3,3.3,3.3,17173,15419,14220,55733,107620,148579,1.2,1.28,1.3,16.5,17.9,17.1,33,34.7,32.8,3.2,7,10.4,24854,22643,20781,2.242415708,4.752903767,7.149752177,0.690955178,0.680961003,0.684278909,149,1
"University of Warwick",55.7,55,52.3,6.9,7.4,6.8,4244,4247,4054,17794,46200,61616,1.83,2.37,2.23,18.8,20.4,21,42.6,46.1,45,4.2,10.9,15.2,3068,3100,2925,5.799869622,14.90322581,21.06529915,1.383311604,1.37,1.385982906,131,1
"Ludwig Maximilian University of Munich",53.9,52.9,52.8,6.1,6.5,6.4,7444,6920,6907,35868,67488,116035,1.83,1.78,2.1,21.2,24.7,25.9,38.2,40.2,42.2,4.8,9.8,16.8,7364,7146,7073,4.870722433,9.444164568,16.40534427,1.010863661,0.968373915,0.976530468,166,1
"University of Amsterdam",57.1,57,55.4,4.6,4.3,4.2,8867,8288,7927,43534,84304,133462,2.13,2.08,2.29,22.7,24.3,26.2,40.3,41.8,43.7,4.9,10.2,16.8,7852,7171,6690,5.544319918,11.75624041,19.94947683,1.129266429,1.155766281,1.18490284,175,1
"University of Texas at Austin",37.8,37,36.6,6.1,5.8,6.6,8980,8756,9046,38807,80737,132006,1.92,1.93,2.1,19.6,22.2,24,42.9,43.8,45.5,4.3,9.2,14.6,8985,8893,9643,4.319087368,9.078713595,13.68930831,0.999443517,0.984594625,0.938089806,186,1
"Universität Heidelberg",57.5,54.3,53.3,8.1,8.4,7.8,7238,7134,6876,40054,80429,128415,2.1,2.1,2.21,23.8,25.1,26.5,39,39.7,41.2,5.5,11.3,18.7,7285,7336,6992,5.498146877,10.96360414,18.3659897,0.993548387,0.972464558,0.983409611,180,1
"University of Glasgow",57.2,55.4,53.3,7.3,8.4,7.8,5187,4961,4675,24858,57631,79124,2.12,2.31,2.27,21.3,23,23.4,46.6,48.9,46.2,4.8,11.6,16.9,4338,4232,4083,5.730290456,13.61791115,19.37888807,1.19571231,1.172258979,1.144991428,158,1
"University of Washington",38.1,37.1,35.8,6.2,6.6,6.3,13412,12725,12723,66646,151788,227529,2.09,2.41,2.39,21.7,25.9,25.6,42.4,46,46.5,5,11.9,17.9,12821,12379,12256,5.198190469,12.26173358,18.564703,1.046096248,1.027950561,1.038103786,246,1
"National Taiwan University",37.5,36.3,32.9,3.8,3.9,4,6187,6226,6266,22503,47491,73393,1.45,1.46,1.5,15.6,16.1,15.6,39.9,45.3,44,3.6,7.6,11.7,7361,7320,7547,3.057057465,6.48784153,9.724791308,0.8405108,0.850546448,0.830263681,133,1
"University of Malaya",57.6,52.5,52.2,1.7,1.4,1.3,4039,4472,4791,15364,33882,55912,1.5,1.51,1.5,18.4,19.3,20.5,25.9,28.2,32.8,3.8,7.6,11.7,4252,4591,4793,3.61335842,7.380091483,11.6653453,0.949905927,0.974079721,0.999582725,110,1
"Osaka University",30.2,29.9,29,6.8,7,7.2,6538,6451,6544,19337,39881,60233,1.13,1.15,1.13,14.1,14.7,14.8,30.3,33.5,33.2,3,6.2,9.2,7011,7078,7189,2.758094423,5.634501272,8.378494923,0.932534589,0.911415654,0.910279594,120,1
"Georgia Institute of Technology",45.5,43.7,41.8,7.6,7.4,7.6,6060,5952,5766,26002,61257,83647,1.83,2.07,2.03,21.2,23.7,23.1,47,48,48.2,4.3,10.3,14.5,5514,5173,5038,4.715632934,11.84167794,16.60321556,1.099020675,1.1505896,1.144501786,152,1
"Universidad de Buenos Aires",40.6,39.9,41.2,1.3,1.2,1.9,3422,3353,3303,8805,17029,26347,1.01,0.98,1,10.8,10.8,11.6,25.6,27.3,28.5,2.6,5.1,8,4820,4702,4720,1.826763485,3.621650362,5.581991525,0.709958506,0.713100808,0.699788136,92,1
"University of Illinois at Urbana-Champaign",39.4,37.7,38.1,5,5.7,5.3,7623,7677,7571,31989,64794,109178,1.75,1.8,1.99,20,20.6,21.6,42.1,44.2,45.2,4.2,8.4,14.4,7259,7216,6861,4.406805345,8.97921286,15.91284069,1.050144648,1.063885809,1.103483457,157,1
"University of Zurich",65,63.3,62.6,5.3,5.8,5,7596,7437,6711,35568,78804,109560,1.95,2.09,2.13,22.2,23.8,24.7,42.1,44.5,45,4.7,10.6,16.3,7185,7105,7113,4.950313152,11.09134412,15.40278364,1.057202505,1.046727657,0.943483762,168,1
"Sorbonne University",100,60,75,0,0,0,5,5,4,4,13,6,0.33,1.75,0.7,0,0,0,20,0,50,0.8,2.6,1.5,3,5,5,1.333333333,2.6,1.2,1.666666667,1,0.8,4,1
"University of Durham",56.6,54.4,53.6,3.7,3.3,3.2,2852,2699,2809,11691,20921,34526,1.58,1.59,1.65,18.7,20.5,20.8,39.2,41.7,42.5,4.1,7.8,12.3,2041,1947,2009,5.728074473,10.7452491,17.18566451,1.397354238,1.386235234,1.398208064,96,1
"University of Sheffield",52.2,48.9,49.9,6.4,6.1,6.8,5091,5239,5019,22512,49399,77000,1.86,1.89,2.08,20.1,21.3,21.7,42.2,44,43.5,4.4,9.4,15.3,4339,4342,4062,5.188292233,11.3770152,18.95617922,1.173311823,1.206586826,1.235598227,135,1
"KU Leuven",65.2,62.5,62.4,5.9,5.9,5.7,9662,9074,8824,41116,84563,124001,1.86,1.94,1.95,19.5,22.1,21.7,42,42.6,43.3,4.3,9.3,14.1,8638,8274,8024,4.759898125,10.22032874,15.45376371,1.11854596,1.096688422,1.099700897,178,1
"University of Birmingham",56.5,51.3,52.2,7.1,7.1,7.3,5530,5286,5160,26747,54715,86907,2.13,2.14,2.18,22.2,22.7,24.3,44.1,44.9,42.8,4.8,10.4,16.8,4475,4371,4267,5.97698324,12.5177305,20.36723693,1.23575419,1.209334248,1.209280525,150,1
"University of Copenhagen",63,59.4,57.7,8.1,7.4,7.6,10688,10531,10525,53252,110659,174369,2.02,2.04,2.11,22.9,24.7,25.6,42,43.6,44.1,5,10.5,16.6,10955,10768,10542,4.860976723,10.27665305,16.54040979,0.975627567,0.977990342,0.998387403,206,1
"Tohoku University",33,33.1,32.4,5.9,6,6.6,6392,6260,6340,18997,38809,60737,1.05,1.15,1.15,13.4,14.1,14.5,28.6,31.7,32.5,3,6.2,9.6,6740,6462,6748,2.818545994,6.005725781,9.00074096,0.948367953,0.968740328,0.939537641,109,1
"Korea University",30.5,29.9,29.9,4.7,4.9,5.3,5429,5289,5203,20370,44603,57031,1.34,1.57,1.44,17.5,17.7,16.3,41.1,39.8,36,3.8,8.4,11,5477,5480,5239,3.719189337,8.139233577,10.88585608,0.991236078,0.965145985,0.99312846,118,1
"University of Auckland",58.4,56.5,53.7,3,3.8,3.4,4962,4750,4515,18288,41583,52558,1.73,2,1.85,16.5,19.1,17,34.4,38.1,37.1,3.7,8.8,11.6,3915,3825,3611,4.671264368,10.87137255,14.55497092,1.26743295,1.241830065,1.250346164,117,1
"Lomonosov Moscow State University",31.3,32.8,34.3,2.6,2.7,2.9,8040,7391,6852,17631,37914,54738,0.82,0.95,0.96,8.9,9.5,9.7,15.6,16.9,17.5,2.2,5.1,8,7620,6997,6732,2.313779528,5.418607975,8.131016043,1.05511811,1.056309847,1.017825312,115,1
"Rice University",48.3,46.8,46,4.7,4.1,5.3,2280,2225,2129,11511,23593,34139,1.91,2.07,1.94,25,28,27.7,51,56,53.9,5,10.6,16,2013,1958,1935,5.718330849,12.04954035,17.64289406,1.132637854,1.136363636,1.100258398,118,1
"University of Western Australia",59.1,57.3,57.1,3.7,4,3.5,5367,5340,5237,23515,56342,82133,1.95,2.09,2.2,20.2,21,21.8,40.3,40.9,39.8,4.4,10.6,15.7,4142,4026,4020,5.677209078,13.99453552,20.43109453,1.295750845,1.326378539,1.302736318,140,1
"Pohang University of Science And Technology",36.9,35.9,35.3,8,9,7.8,2063,1967,2113,8536,17985,25920,1.29,1.56,1.38,21.6,25.3,20.6,49.9,54.9,52.2,4.1,9.1,12.3,2201,2297,2244,3.878237165,7.829777971,11.55080214,0.937301227,0.856334349,0.941622103,97,1
"University of Science and Technology of China",30.3,30.1,31.6,2.9,2.6,2.5,9010,7422,6472,41922,73328,92295,1.47,1.58,1.55,23.2,24.5,24.4,43.2,44.5,45.6,4.7,9.9,14.3,11330,9264,7914,3.700088261,7.91537133,11.66224412,0.795233892,0.801165803,0.817791256,149,1
"University of North Carolina",34.1,32,31.4,5.5,5.1,5.2,8725,8489,8181,39929,85758,133615,1.98,2.08,2.23,19.5,22.7,23.4,41.6,45.3,44.1,4.6,10.1,16.3,8701,8425,8245,4.589012757,10.1789911,16.20557914,1.002758304,1.007596439,0.99223772,194,1
"Hong Kong Polytechnic University",73.3,71.7,69.8,1.5,1.7,1.6,5098,4489,3732,24298,41880,44842,1.85,1.9,1.56,24.3,23.3,21.8,50.3,46.9,44.3,4.8,9.3,12,3501,3147,2790,6.940302771,13.3079123,16.07240143,1.456155384,1.426437877,1.337634409,95,1
"Lund University",62,59.8,58.7,5.6,6.4,5.9,5975,5862,5865,26509,55404,88003,1.76,2.01,2.04,19.8,22,21.5,40.4,44.1,43.4,4.4,9.5,15,5658,5637,5654,4.685224461,9.828632251,15.56473293,1.056026865,1.039914848,1.037318712,145,1
"Pennsylvania State University",36.4,35.5,34.4,3.8,3.9,4.2,9239,8733,8540,32360,70832,109210,1.52,1.67,1.74,17.2,19.9,20.5,38.2,41.7,42.1,3.5,8.1,12.8,8172,7654,7587,3.959862947,9.254246146,14.39435877,1.130567792,1.140972041,1.125609595,152,1
"University of Leeds",55.4,52.3,50.7,5.6,5.7,5.4,5177,4774,4537,19414,40461,53252,1.69,1.77,1.72,20.6,20.7,21.1,44.5,45.9,44.5,3.8,8.5,11.7,4447,4105,3748,4.365639757,9.856516443,14.20811099,1.164155611,1.162971985,1.210512273,119,1
"Sungkyunkwan University",29.5,27.1,27.6,14.4,16.3,16.1,5398,5434,5401,20047,43613,65993,1.36,1.47,1.5,17.6,17.9,17,39.2,38.4,35.3,3.7,8,12.2,5684,5443,5407,3.526917664,8.012676833,12.20510449,0.949683322,0.9983465,0.998890327,136,1
"University of Nottingham",54.3,51.5,49.1,6.4,6.6,6.3,5275,5381,5162,21642,43565,71121,1.76,1.77,1.96,20.2,19.4,20.3,42.9,43.4,44,4.1,8.1,13.8,4981,4888,4788,4.344910661,8.912643208,14.85401003,1.059024292,1.100859247,1.078111947,131,1
"University of Southampton",60.1,58.7,58.6,6.2,5.8,5.4,5660,5679,5740,25934,57131,91360,1.9,2.06,2.17,21.5,21.8,23.1,43.5,43.8,46,4.6,10.1,15.9,4370,4449,4307,5.934553776,12.84131265,21.2119805,1.295194508,1.276466622,1.332714186,146,1
"Boston University",38.8,37.9,38.5,5.4,6.1,5.8,6238,5944,5701,31855,55149,93179,2.15,1.94,2.32,21.3,23.6,25.7,45.1,48.1,47.9,5.1,9.3,16.3,5699,5442,5175,5.589577119,10.1339581,18.00560386,1.094577996,1.092245498,1.101642512,158,1
"Royal Institute of Technology",65.6,65.4,64.4,10.4,9.4,9.5,4470,4392,4162,17101,33939,51328,1.59,1.59,1.6,19.7,20.6,19.3,43.3,43,44.7,3.8,7.7,12.3,3359,3293,3206,5.091098541,10.30640753,16.00998129,1.3307532,1.333738233,1.298190892,118,1
"University of St Andrews",58.8,59.8,58.5,4.1,3.4,3.7,2051,2103,2098,7514,16989,26241,1.51,1.52,1.58,19.6,20.4,20.4,41.2,40.7,42,3.7,8.1,12.5,1550,1567,1604,4.847741935,10.8417358,16.35972569,1.323225806,1.342054882,1.30798005,92,1
"Ohio State University",35.8,34.9,35.6,5.1,5.1,5.2,9669,9240,8800,43511,85610,123418,1.96,1.88,1.92,19.6,21.3,22.3,39,42.4,43.7,4.5,9.3,14,9532,9070,8615,4.564729333,9.438809261,14.32594312,1.01437264,1.018743109,1.021474173,172,2
"Eindhoven University of Technology",53.8,52.5,51.7,14.3,15.2,14.9,3005,2891,2770,10347,21230,28988,1.48,1.62,1.5,16.3,18.7,18.3,38.4,40.7,42.8,3.4,7.3,10.5,2603,2522,2409,3.975028813,8.417922284,12.0332088,1.154437188,1.14631245,1.149854711,89,2
"Universidad Nacional Autónoma de México",44.2,41.3,42.3,1.6,1.5,2.1,6726,6378,6111,15594,30651,47811,0.8,0.89,0.93,9.1,9.8,9.6,20.9,23.5,23.4,2.3,4.8,7.8,9162,8807,8283,1.702030124,3.480299762,5.772183991,0.734119188,0.724196662,0.737776168,95,2
