@relation universities-weka.filters.unsupervised.attribute.Remove-R1

@attribute intCol2018 numeric
@attribute intCol2017 numeric
@attribute intCol2016 numeric
@attribute acaCol2018 numeric
@attribute acaCol2017 numeric
@attribute acaCol2016 numeric
@attribute pub2018 numeric
@attribute pub2017 numeric
@attribute pub2016 numeric
@attribute cit2018 numeric
@attribute cit2017 numeric
@attribute cit2016 numeric
@attribute fwCitImp2018 numeric
@attribute fwCitImp2017 numeric
@attribute fwCitImp2016 numeric
@attribute pubTCP2018 numeric
@attribute pubTCP2017 numeric
@attribute pubTCP2016 numeric
@attribute pubTJP2018 numeric
@attribute pubTJP2017 numeric
@attribute pubTJP2016 numeric
@attribute citPP2018 numeric
@attribute citPP2017 numeric
@attribute citPP2016 numeric
@attribute authors2018 numeric
@attribute authors2017 numeric
@attribute authors2016 numeric
@attribute citPA2018 numeric
@attribute citPA2017 numeric
@attribute citPA2016 numeric
@attribute pubPA2018 numeric
@attribute pubPA2017 numeric
@attribute pubPA2016 numeric
@attribute h5Index numeric
@attribute class {1,2}

@data
62.6,60.2,58.7,5.3,4.9,5.2,2881,2836,2708,10976,25961,36983,1.71,1.94,1.96,18.4,20.7,20.7,38.3,42.1,40.7,3.8,9.2,13.7,2476,2420,2334,4.432956,10.727686,15.84533,1.16357,1.171901,1.16024,100,2
53.2,51.7,50.5,4.2,3.5,3.6,4613,4409,4286,15799,33509,50089,1.52,1.62,1.62,16.5,18.2,17.6,37,39,39.3,3.4,7.6,11.7,3961,3687,3630,3.988639,9.088419,13.798623,1.164605,1.195823,1.180716,104,2
55.4,53.1,52.8,2,3.2,1.9,3178,2997,2968,10212,23821,35530,1.57,1.83,2.04,14.8,16.5,14.9,35.1,36.6,35.6,3.2,7.9,12,2932,2810,2755,3.482947,8.477224,12.896552,1.083902,1.066548,1.077314,102,2
47.8,49.3,43.8,6.4,5.4,5,808,741,678,3147,4947,6479,2.08,1.58,1.58,20.7,18.1,16.5,31.6,36.2,29.1,3.9,6.7,9.6,589,595,572,5.342954,8.314286,11.326923,1.371817,1.245378,1.185315,47,2
50.6,47.4,47.6,4.5,4.5,4.4,6835,6695,6450,31086,58322,93715,1.85,1.86,1.97,19.5,20.7,21.4,34.6,34.5,35.6,4.5,8.7,14.5,6035,5934,5729,5.150953,9.828446,16.358003,1.13256,1.128244,1.125851,152,2
49.4,48.3,48.8,6.7,7.2,7.3,4940,4926,4918,21547,40775,62154,1.69,1.59,1.62,19.5,20,20.1,37.3,37.8,40.1,4.4,8.3,12.6,4996,4805,4828,4.31285,8.485952,12.873654,0.988791,1.025182,1.018641,133,2
61,58.2,57.1,8.3,7.8,7.1,4562,4513,4176,22621,42337,64924,2.03,1.96,2.19,21.1,22.8,22.1,43.7,46.7,44.7,5,9.4,15.5,3784,3899,3399,5.978066,10.858425,19.100912,1.205603,1.157476,1.228597,132,2
18.1,19.3,21.2,2.2,2.3,2.7,2628,2538,2076,7143,12915,16944,1.21,1.05,1.14,14.1,14,15.3,27.7,28,32.2,2.7,5.1,8.2,2276,2110,1813,3.138401,6.120853,9.345836,1.154657,1.202844,1.145063,61,2
57.1,55.6,54.5,5.6,5.5,5.8,5644,5669,5333,26835,65892,93346,2.22,2.42,2.49,22.7,24,26.3,43.1,45,45.7,4.8,11.6,17.5,5397,5218,5052,4.972207,12.627827,18.477039,1.045766,1.086432,1.055622,172,2
30.5,28.6,27.5,2.8,2.4,2.8,3089,2850,2612,9448,15911,22144,1.12,1.05,1,16.6,13.9,13.3,36,36.7,36.5,3.1,5.6,8.5,3024,2889,2578,3.124339,5.507442,8.589604,1.021495,0.986501,1.013189,67,2
