@relation universities-weka.filters.unsupervised.attribute.Remove-R1

@attribute intCol2018 numeric
@attribute intCol2017 numeric
@attribute intCol2016 numeric
@attribute acaCol2018 numeric
@attribute acaCol2017 numeric
@attribute acaCol2016 numeric
@attribute pub2018 numeric
@attribute pub2017 numeric
@attribute pub2016 numeric
@attribute cit2018 numeric
@attribute cit2017 numeric
@attribute cit2016 numeric
@attribute fwCitImp2018 numeric
@attribute fwCitImp2017 numeric
@attribute fwCitImp2016 numeric
@attribute pubTCP2018 numeric
@attribute pubTCP2017 numeric
@attribute pubTCP2016 numeric
@attribute pubTJP2018 numeric
@attribute pubTJP2017 numeric
@attribute pubTJP2016 numeric
@attribute citPP2018 numeric
@attribute citPP2017 numeric
@attribute citPP2016 numeric
@attribute authors2018 numeric
@attribute authors2017 numeric
@attribute authors2016 numeric
@attribute citPA2018 numeric
@attribute citPA2017 numeric
@attribute citPA2016 numeric
@attribute pubPA2018 numeric
@attribute pubPA2017 numeric
@attribute pubPA2016 numeric
@attribute h5Index numeric
@attribute class {1,2}

@data
35.9,34.6,34.3,5.2,5.1,5,14984,14314,13692,64054,139853,212649,1.92,2.03,2.15,20,23.5,24.7,40.8,44.6,44.5,4.3,9.8,15.5,14585,13443,12833,4.391772,10.403407,16.570482,1.027357,1.064792,1.066937,209,1
33.8,33.3,32.3,3.2,3.1,2.5,14139,12842,12579,62904,121232,171846,1.46,1.62,1.54,21.1,23.2,22.2,41,41.6,41.4,4.4,9.4,13.7,19662,18069,17337,3.199268,6.709392,9.912096,0.719103,0.71072,0.725558,185,1
37.2,35.5,33.2,5.9,5.9,6.6,12413,12026,11958,43602,89461,134172,1.27,1.35,1.38,16,16.7,16.9,34.7,36.6,36.8,3.5,7.4,11.2,11914,11760,11681,3.659728,7.607228,11.486345,1.041883,1.022619,1.023714,164,1
42.2,40.3,39.1,5.9,6.2,5.7,14040,13589,13159,73556,150926,229198,2.18,2.2,2.34,22.1,26.2,26.4,39.9,44.8,44.4,5.2,11.1,17.4,13492,13128,12260,5.451823,11.496496,18.69478,1.040617,1.035116,1.073328,239,1
39.4,37.2,36.7,6.4,6.7,6.3,9496,9045,8731,45102,91906,143637,2.06,2.12,2.18,21.2,24.5,25,43.8,46.2,46.9,4.7,10.2,16.5,9028,8745,8212,4.995791,10.509548,17.491111,1.051839,1.034305,1.0632,190,1
68,66.4,66.2,2.1,2.4,2.4,5768,5525,5315,24034,51513,73892,1.74,1.91,1.95,20.4,21.7,21.6,45.1,44.6,43.5,4.2,9.3,13.9,5230,5095,4926,4.595411,10.1105,15.000406,1.102868,1.084396,1.078969,138,1
56.6,53.7,52.4,8.1,8.4,7.8,8306,8026,8276,36778,79177,121985,1.85,1.96,2.02,22.3,23.4,23.8,42.3,42.9,43.5,4.4,9.9,14.7,7370,7082,6958,4.990231,11.180034,17.531618,1.127001,1.133296,1.189422,170,1
47.9,45.9,44.3,5.9,5.6,5.9,9268,9271,9080,53372,111893,173188,2.21,2.3,2.42,27,28.8,30.6,50.5,52.1,52.4,5.8,12.1,19.1,8477,8325,8046,6.296095,13.440601,21.524733,1.093311,1.113634,1.128511,218,1
58.8,56.5,54.9,2.8,2.5,2.2,4951,4944,4863,21362,47301,73001,1.89,2.05,2.13,19.8,19.6,21.2,39.6,41.5,41.4,4.3,9.6,15,3623,3560,3492,5.896219,13.286798,20.905212,1.366547,1.388764,1.392612,138,1
52.9,51.4,50.9,4.5,4.9,4.4,18574,17649,17267,83030,176543,269032,2,2.02,2.17,19.9,22.1,22.3,37.7,40.9,40.7,4.5,10,15.6,19639,18833,18076,4.227812,9.374131,14.883381,0.945771,0.937132,0.955245,254,1
34.9,33.2,32.2,4.8,4.8,4.8,8497,8332,7912,47915,101395,141394,2.24,2.29,2.33,24.2,26.7,26.3,46.4,49,49.4,5.6,12.2,17.9,8022,7698,7451,5.972949,13.171603,18.976513,1.059212,1.082359,1.061871,193,1
75.4,73.2,72.2,4,3.5,3.7,2905,2724,2659,16663,30806,46432,1.96,2.12,2.16,27.4,28.7,28.9,54.5,54,55.1,5.7,11.3,17.5,2502,2262,2280,6.659872,13.618921,20.364912,1.161071,1.204244,1.166228,117,1
56.7,52.9,53.4,5.4,4.8,5.1,8349,7977,7717,39984,88835,123858,2.07,2.32,2.22,21.9,23.9,24.1,42.9,44.6,45.2,4.8,11.1,16.1,7057,7126,6539,5.665864,12.466321,18.941428,1.183081,1.119422,1.18015,174,1
35.4,33.7,33.2,5.5,6.1,5.6,7943,7784,7701,28952,62667,90411,1.27,1.48,1.47,16.2,16.8,17.1,35.5,38.7,38.1,3.6,8.1,11.7,8048,8017,7652,3.597416,7.816764,11.815342,0.986953,0.970937,1.006404,142,1
55.8,55.1,54.4,3.8,3.7,3.5,8803,8677,8304,36557,79706,122395,1.77,1.89,1.98,19.3,22.4,23.1,38.9,42.8,44.3,4.2,9.2,14.7,8812,8722,8185,4.148547,9.1385,14.953574,0.998979,0.994841,1.014539,169,1
41.4,40.7,40,6.5,6.8,6.7,12573,12125,11687,64379,126481,190648,2.13,2.16,2.23,21.7,25.2,24.5,43.7,46.5,46.8,5.1,10.4,16.3,12223,11959,11535,5.267038,10.576219,16.527785,1.028635,1.013881,1.013177,217,1
29.5,28.1,28,5.8,6,6,10337,9989,9597,35156,84371,117577,1.33,1.63,1.58,14.8,16.4,15.9,36.1,38.3,37.2,3.4,8.4,12.3,11723,11421,10990,2.998891,7.387357,10.698544,0.881771,0.874617,0.873248,169,1
52.9,50.9,49.4,3.8,4,4.1,11740,10939,10438,51700,110337,157675,1.93,2.06,2.06,19.7,21.8,22.6,40.5,42,42,4.4,10.1,15.1,9839,9217,8796,5.254599,11.971032,17.925762,1.193211,1.186829,1.186676,196,1
37.1,35.4,34.8,5.5,4.6,5.1,8893,8582,8298,39101,78066,116941,2.07,1.98,2.21,17.8,20.5,22.2,39.9,40,40.5,4.4,9.1,14.1,8324,8051,7890,4.697381,9.696435,14.82142,1.068357,1.065955,1.051711,177,1
30.6,30.3,30.2,2.7,2.8,2.8,9719,9091,8477,37085,76060,108152,1.36,1.46,1.49,18.7,20.4,20.4,36,38,38.3,3.8,8.4,12.8,15681,14831,13524,2.364964,5.128447,7.997042,0.619795,0.612973,0.626812,141,1
28.3,27.9,25.5,6.7,6.5,8,4107,3993,4046,13096,29122,43397,1.2,1.35,1.31,16.7,18.5,18.4,47.3,47.3,46.3,3.2,7.3,10.7,4649,4630,4565,2.81695,6.289849,9.506462,0.883416,0.862419,0.886309,107,1
52.2,51.3,50,3,3.1,2.6,11210,10793,10255,48436,103587,155266,1.97,2.09,2.1,19.5,20.4,21,36.9,39.3,38,4.3,9.6,15.1,8836,8655,8376,5.481666,11.968458,18.537011,1.268674,1.247025,1.224331,185,1
56.1,52,51,2.7,2.6,2.8,9876,9249,9010,42338,85734,119495,1.84,1.94,1.85,20.8,20.7,20.7,40.4,41.2,41.7,4.3,9.3,13.3,7683,7391,7110,5.510608,11.599784,16.80661,1.285435,1.251387,1.267229,161,1
48.8,41.4,42.3,3.2,2.8,2.7,1757,1777,1531,5213,11590,12759,2.05,2.54,2.08,12.1,11.3,14,41.2,38.3,39.8,3,6.5,8.3,1161,1165,1057,4.490095,9.948498,12.070956,1.513351,1.525322,1.448439,65,1
43.4,42.6,42,7,6.9,6.8,9974,9664,9378,54536,108469,173597,2.14,2.19,2.27,25.2,27.1,27.9,46.9,47.7,49.1,5.5,11.2,18.5,9661,9244,9142,5.644964,11.73399,18.988952,1.032398,1.045435,1.025815,212,1
71.1,69.3,68.6,3.5,2.9,3,5216,4818,4489,24207,55634,67877,1.94,2.27,2.13,21,23.3,21.7,44.1,46,42.8,4.6,11.5,15.1,4749,4333,4174,5.097284,12.839603,16.261859,1.098336,1.111932,1.075467,137,1
56,54.1,49.6,3.3,3.1,3.1,9950,9334,9139,44042,86659,127294,1.85,1.89,1.98,21.1,21.9,21.8,42.3,44,42.6,4.4,9.3,13.9,8379,8034,7744,5.256236,10.786532,16.437758,1.187493,1.161812,1.180139,172,1
45.7,41.2,41,10.1,9.3,9.9,3972,3884,3848,17720,36097,54341,2.21,2.24,2.29,19.5,22.5,22.9,43.4,45.9,45.5,4.5,9.3,14.1,3408,3252,3230,5.199531,11.099939,16.823839,1.165493,1.194342,1.191331,134,1
54.6,51.4,50.1,7.3,8.4,8.9,5894,5647,5447,28804,58908,85017,2.08,2.13,2.18,20.9,23,23.2,45.1,48.2,46.6,4.9,10.4,15.6,4916,4723,4556,5.859235,12.472581,18.660448,1.198942,1.195638,1.195566,149,1
58.4,57.5,56.3,8,7.2,8.3,5641,5214,5015,19650,37086,49916,1.64,1.67,1.53,17.1,19.3,18.4,43.1,42.3,41.4,3.5,7.1,10,4874,4412,4131,4.031596,8.405712,12.083273,1.157366,1.181777,1.213992,105,1
57.2,55.1,55.3,3.7,4.4,4.3,10769,10104,10068,47306,97717,153321,1.91,2.05,2.12,19.3,21.7,22.3,39,42.2,41.3,4.4,9.7,15.2,10536,10298,9875,4.489939,9.48893,15.526177,1.022115,0.981161,1.019544,197,1
76.8,73.4,72.7,1.9,1.7,1.6,3889,3490,3248,18340,33683,43889,1.73,1.9,1.68,23.8,26,23.7,52.5,51.4,49.8,4.7,9.7,13.5,2453,2276,2085,7.476559,14.799209,21.04988,1.585406,1.533392,1.557794,112,1
61.1,57.5,56.2,6,6,5.8,8703,8785,8470,39062,78395,127384,1.67,1.6,1.76,20.5,21.2,22.1,40.3,41.1,41.1,4.5,8.9,15,8684,8519,8390,4.498158,9.202371,15.182837,1.002188,1.031224,1.009535,168,1
31.5,29.7,28.7,2.3,2.4,2.3,14585,13185,12395,51556,96698,129555,1.24,1.26,1.22,18.6,19.4,18,37.4,36.9,36.2,3.5,7.3,10.5,22072,20089,18438,2.33581,4.81348,7.026521,0.660792,0.656329,0.672253,147,1
51.7,48.6,49.8,9.6,9.9,9.4,8090,7871,7615,36099,68540,100827,1.91,1.83,1.83,19.7,21.3,21.8,39.8,38.7,42.7,4.5,8.7,13.2,7912,7692,7349,4.562563,8.910556,13.719826,1.022497,1.023271,1.036195,152,1
36.9,34.4,33.7,4.4,5.1,4.6,8958,8895,8728,36737,77683,117688,1.69,1.78,1.84,20.1,22.4,22.5,43.3,45.5,46.1,4.1,8.7,13.5,9174,9194,9086,4.004469,8.449315,12.952674,0.976455,0.967479,0.960599,170,1
34.5,32.5,32.4,3.3,4,4.6,4690,4443,4246,21470,43557,70347,1.97,2.15,2.3,17.6,21.6,22,39.5,44.6,44.2,4.6,9.8,16.6,4177,3926,3743,5.140053,11.094498,18.794283,1.122815,1.131686,1.134384,139,1
55.2,51.7,50.8,2.8,2.9,2.9,10300,9555,8854,44432,91194,136590,1.8,1.88,2.06,20.6,21.8,22.1,39.5,42.5,41.4,4.3,9.5,15.4,8203,7674,7126,5.416555,11.883503,19.167836,1.255638,1.245113,1.242492,173,1
36.8,33.2,31.6,7.4,8.2,9,3863,3864,3819,11930,23338,37586,1.16,1.15,1.21,14.9,15.4,15.6,34.7,35.5,36.7,3.1,6,9.8,3613,3490,3501,3.301965,6.687106,10.73579,1.069195,1.107163,1.090831,94,1
69.5,69.1,67.4,8.4,9.3,9.4,1924,1885,1786,9058,19831,25836,1.64,1.82,1.72,23.5,26,24.1,46.8,49.4,47,4.7,10.5,14.5,1653,1697,1686,5.479734,11.685916,15.323843,1.163944,1.110784,1.059312,103,1
29.4,28.5,27.8,3,3.3,3.3,17173,15419,14220,55733,107620,148579,1.2,1.28,1.3,16.5,17.9,17.1,33,34.7,32.8,3.2,7,10.4,24854,22643,20781,2.242416,4.752904,7.149752,0.690955,0.680961,0.684279,149,1
55.7,55,52.3,6.9,7.4,6.8,4244,4247,4054,17794,46200,61616,1.83,2.37,2.23,18.8,20.4,21,42.6,46.1,45,4.2,10.9,15.2,3068,3100,2925,5.79987,14.903226,21.065299,1.383312,1.37,1.385983,131,1
53.9,52.9,52.8,6.1,6.5,6.4,7444,6920,6907,35868,67488,116035,1.83,1.78,2.1,21.2,24.7,25.9,38.2,40.2,42.2,4.8,9.8,16.8,7364,7146,7073,4.870722,9.444165,16.405344,1.010864,0.968374,0.97653,166,1
57.1,57,55.4,4.6,4.3,4.2,8867,8288,7927,43534,84304,133462,2.13,2.08,2.29,22.7,24.3,26.2,40.3,41.8,43.7,4.9,10.2,16.8,7852,7171,6690,5.54432,11.75624,19.949477,1.129266,1.155766,1.184903,175,1
37.8,37,36.6,6.1,5.8,6.6,8980,8756,9046,38807,80737,132006,1.92,1.93,2.1,19.6,22.2,24,42.9,43.8,45.5,4.3,9.2,14.6,8985,8893,9643,4.319087,9.078714,13.689308,0.999444,0.984595,0.93809,186,1
57.5,54.3,53.3,8.1,8.4,7.8,7238,7134,6876,40054,80429,128415,2.1,2.1,2.21,23.8,25.1,26.5,39,39.7,41.2,5.5,11.3,18.7,7285,7336,6992,5.498147,10.963604,18.36599,0.993548,0.972465,0.98341,180,1
57.2,55.4,53.3,7.3,8.4,7.8,5187,4961,4675,24858,57631,79124,2.12,2.31,2.27,21.3,23,23.4,46.6,48.9,46.2,4.8,11.6,16.9,4338,4232,4083,5.73029,13.617911,19.378888,1.195712,1.172259,1.144991,158,1
38.1,37.1,35.8,6.2,6.6,6.3,13412,12725,12723,66646,151788,227529,2.09,2.41,2.39,21.7,25.9,25.6,42.4,46,46.5,5,11.9,17.9,12821,12379,12256,5.19819,12.261734,18.564703,1.046096,1.027951,1.038104,246,1
37.5,36.3,32.9,3.8,3.9,4,6187,6226,6266,22503,47491,73393,1.45,1.46,1.5,15.6,16.1,15.6,39.9,45.3,44,3.6,7.6,11.7,7361,7320,7547,3.057057,6.487842,9.724791,0.840511,0.850546,0.830264,133,1
57.6,52.5,52.2,1.7,1.4,1.3,4039,4472,4791,15364,33882,55912,1.5,1.51,1.5,18.4,19.3,20.5,25.9,28.2,32.8,3.8,7.6,11.7,4252,4591,4793,3.613358,7.380091,11.665345,0.949906,0.97408,0.999583,110,1
30.2,29.9,29,6.8,7,7.2,6538,6451,6544,19337,39881,60233,1.13,1.15,1.13,14.1,14.7,14.8,30.3,33.5,33.2,3,6.2,9.2,7011,7078,7189,2.758094,5.634501,8.378495,0.932535,0.911416,0.91028,120,1
45.5,43.7,41.8,7.6,7.4,7.6,6060,5952,5766,26002,61257,83647,1.83,2.07,2.03,21.2,23.7,23.1,47,48,48.2,4.3,10.3,14.5,5514,5173,5038,4.715633,11.841678,16.603216,1.099021,1.15059,1.144502,152,1
40.6,39.9,41.2,1.3,1.2,1.9,3422,3353,3303,8805,17029,26347,1.01,0.98,1,10.8,10.8,11.6,25.6,27.3,28.5,2.6,5.1,8,4820,4702,4720,1.826763,3.62165,5.581992,0.709959,0.713101,0.699788,92,1
39.4,37.7,38.1,5,5.7,5.3,7623,7677,7571,31989,64794,109178,1.75,1.8,1.99,20,20.6,21.6,42.1,44.2,45.2,4.2,8.4,14.4,7259,7216,6861,4.406805,8.979213,15.912841,1.050145,1.063886,1.103483,157,1
65,63.3,62.6,5.3,5.8,5,7596,7437,6711,35568,78804,109560,1.95,2.09,2.13,22.2,23.8,24.7,42.1,44.5,45,4.7,10.6,16.3,7185,7105,7113,4.950313,11.091344,15.402784,1.057203,1.046728,0.943484,168,1
100,60,75,0,0,0,5,5,4,4,13,6,0.33,1.75,0.7,0,0,0,20,0,50,0.8,2.6,1.5,3,5,5,1.333333,2.6,1.2,1.666667,1,0.8,4,1
56.6,54.4,53.6,3.7,3.3,3.2,2852,2699,2809,11691,20921,34526,1.58,1.59,1.65,18.7,20.5,20.8,39.2,41.7,42.5,4.1,7.8,12.3,2041,1947,2009,5.728074,10.745249,17.185665,1.397354,1.386235,1.398208,96,1
52.2,48.9,49.9,6.4,6.1,6.8,5091,5239,5019,22512,49399,77000,1.86,1.89,2.08,20.1,21.3,21.7,42.2,44,43.5,4.4,9.4,15.3,4339,4342,4062,5.188292,11.377015,18.956179,1.173312,1.206587,1.235598,135,1
65.2,62.5,62.4,5.9,5.9,5.7,9662,9074,8824,41116,84563,124001,1.86,1.94,1.95,19.5,22.1,21.7,42,42.6,43.3,4.3,9.3,14.1,8638,8274,8024,4.759898,10.220329,15.453764,1.118546,1.096688,1.099701,178,1
56.5,51.3,52.2,7.1,7.1,7.3,5530,5286,5160,26747,54715,86907,2.13,2.14,2.18,22.2,22.7,24.3,44.1,44.9,42.8,4.8,10.4,16.8,4475,4371,4267,5.976983,12.517731,20.367237,1.235754,1.209334,1.209281,150,1
63,59.4,57.7,8.1,7.4,7.6,10688,10531,10525,53252,110659,174369,2.02,2.04,2.11,22.9,24.7,25.6,42,43.6,44.1,5,10.5,16.6,10955,10768,10542,4.860977,10.276653,16.54041,0.975628,0.97799,0.998387,206,1
33,33.1,32.4,5.9,6,6.6,6392,6260,6340,18997,38809,60737,1.05,1.15,1.15,13.4,14.1,14.5,28.6,31.7,32.5,3,6.2,9.6,6740,6462,6748,2.818546,6.005726,9.000741,0.948368,0.96874,0.939538,109,1
30.5,29.9,29.9,4.7,4.9,5.3,5429,5289,5203,20370,44603,57031,1.34,1.57,1.44,17.5,17.7,16.3,41.1,39.8,36,3.8,8.4,11,5477,5480,5239,3.719189,8.139234,10.885856,0.991236,0.965146,0.993128,118,1
58.4,56.5,53.7,3,3.8,3.4,4962,4750,4515,18288,41583,52558,1.73,2,1.85,16.5,19.1,17,34.4,38.1,37.1,3.7,8.8,11.6,3915,3825,3611,4.671264,10.871373,14.554971,1.267433,1.24183,1.250346,117,1
31.3,32.8,34.3,2.6,2.7,2.9,8040,7391,6852,17631,37914,54738,0.82,0.95,0.96,8.9,9.5,9.7,15.6,16.9,17.5,2.2,5.1,8,7620,6997,6732,2.31378,5.418608,8.131016,1.055118,1.05631,1.017825,115,1
48.3,46.8,46,4.7,4.1,5.3,2280,2225,2129,11511,23593,34139,1.91,2.07,1.94,25,28,27.7,51,56,53.9,5,10.6,16,2013,1958,1935,5.718331,12.04954,17.642894,1.132638,1.136364,1.100258,118,1
59.1,57.3,57.1,3.7,4,3.5,5367,5340,5237,23515,56342,82133,1.95,2.09,2.2,20.2,21,21.8,40.3,40.9,39.8,4.4,10.6,15.7,4142,4026,4020,5.677209,13.994536,20.431095,1.295751,1.326379,1.302736,140,1
36.9,35.9,35.3,8,9,7.8,2063,1967,2113,8536,17985,25920,1.29,1.56,1.38,21.6,25.3,20.6,49.9,54.9,52.2,4.1,9.1,12.3,2201,2297,2244,3.878237,7.829778,11.550802,0.937301,0.856334,0.941622,97,1
30.3,30.1,31.6,2.9,2.6,2.5,9010,7422,6472,41922,73328,92295,1.47,1.58,1.55,23.2,24.5,24.4,43.2,44.5,45.6,4.7,9.9,14.3,11330,9264,7914,3.700088,7.915371,11.662244,0.795234,0.801166,0.817791,149,1
34.1,32,31.4,5.5,5.1,5.2,8725,8489,8181,39929,85758,133615,1.98,2.08,2.23,19.5,22.7,23.4,41.6,45.3,44.1,4.6,10.1,16.3,8701,8425,8245,4.589013,10.178991,16.205579,1.002758,1.007596,0.992238,194,1
73.3,71.7,69.8,1.5,1.7,1.6,5098,4489,3732,24298,41880,44842,1.85,1.9,1.56,24.3,23.3,21.8,50.3,46.9,44.3,4.8,9.3,12,3501,3147,2790,6.940303,13.307912,16.072401,1.456155,1.426438,1.337634,95,1
62,59.8,58.7,5.6,6.4,5.9,5975,5862,5865,26509,55404,88003,1.76,2.01,2.04,19.8,22,21.5,40.4,44.1,43.4,4.4,9.5,15,5658,5637,5654,4.685224,9.828632,15.564733,1.056027,1.039915,1.037319,145,1
36.4,35.5,34.4,3.8,3.9,4.2,9239,8733,8540,32360,70832,109210,1.52,1.67,1.74,17.2,19.9,20.5,38.2,41.7,42.1,3.5,8.1,12.8,8172,7654,7587,3.959863,9.254246,14.394359,1.130568,1.140972,1.12561,152,1
55.4,52.3,50.7,5.6,5.7,5.4,5177,4774,4537,19414,40461,53252,1.69,1.77,1.72,20.6,20.7,21.1,44.5,45.9,44.5,3.8,8.5,11.7,4447,4105,3748,4.36564,9.856516,14.208111,1.164156,1.162972,1.210512,119,1
29.5,27.1,27.6,14.4,16.3,16.1,5398,5434,5401,20047,43613,65993,1.36,1.47,1.5,17.6,17.9,17,39.2,38.4,35.3,3.7,8,12.2,5684,5443,5407,3.526918,8.012677,12.205104,0.949683,0.998347,0.99889,136,1
54.3,51.5,49.1,6.4,6.6,6.3,5275,5381,5162,21642,43565,71121,1.76,1.77,1.96,20.2,19.4,20.3,42.9,43.4,44,4.1,8.1,13.8,4981,4888,4788,4.344911,8.912643,14.85401,1.059024,1.100859,1.078112,131,1
60.1,58.7,58.6,6.2,5.8,5.4,5660,5679,5740,25934,57131,91360,1.9,2.06,2.17,21.5,21.8,23.1,43.5,43.8,46,4.6,10.1,15.9,4370,4449,4307,5.934554,12.841313,21.21198,1.295195,1.276467,1.332714,146,1
38.8,37.9,38.5,5.4,6.1,5.8,6238,5944,5701,31855,55149,93179,2.15,1.94,2.32,21.3,23.6,25.7,45.1,48.1,47.9,5.1,9.3,16.3,5699,5442,5175,5.589577,10.133958,18.005604,1.094578,1.092245,1.101643,158,1
65.6,65.4,64.4,10.4,9.4,9.5,4470,4392,4162,17101,33939,51328,1.59,1.59,1.6,19.7,20.6,19.3,43.3,43,44.7,3.8,7.7,12.3,3359,3293,3206,5.091099,10.306408,16.009981,1.330753,1.333738,1.298191,118,1
58.8,59.8,58.5,4.1,3.4,3.7,2051,2103,2098,7514,16989,26241,1.51,1.52,1.58,19.6,20.4,20.4,41.2,40.7,42,3.7,8.1,12.5,1550,1567,1604,4.847742,10.841736,16.359726,1.323226,1.342055,1.30798,92,1
35.8,34.9,35.6,5.1,5.1,5.2,9669,9240,8800,43511,85610,123418,1.96,1.88,1.92,19.6,21.3,22.3,39,42.4,43.7,4.5,9.3,14,9532,9070,8615,4.564729,9.438809,14.325943,1.014373,1.018743,1.021474,172,2
53.8,52.5,51.7,14.3,15.2,14.9,3005,2891,2770,10347,21230,28988,1.48,1.62,1.5,16.3,18.7,18.3,38.4,40.7,42.8,3.4,7.3,10.5,2603,2522,2409,3.975029,8.417922,12.033209,1.154437,1.146312,1.149855,89,2
44.2,41.3,42.3,1.6,1.5,2.1,6726,6378,6111,15594,30651,47811,0.8,0.89,0.93,9.1,9.8,9.6,20.9,23.5,23.4,2.3,4.8,7.8,9162,8807,8283,1.70203,3.4803,5.772184,0.734119,0.724197,0.737776,95,2
43.5,41.7,41.5,4.5,4.1,4.5,8028,7851,7808,34862,67610,106079,1.79,1.81,1.76,20.3,21.8,21.3,42.8,44.5,45.6,4.3,8.6,13.6,7875,7652,7571,4.426921,8.835599,14.011227,1.019429,1.026006,1.031304,153,2
29,26.4,25.6,5.9,6.5,6.6,5941,5715,5751,19637,38552,63293,1.24,1.26,1.34,13.9,15.1,14.9,36.6,39.7,36.9,3.3,6.7,11,6746,6612,6532,2.91091,5.830611,9.689682,0.88067,0.864338,0.880435,113,2
55.5,54.8,52.5,2.9,2.8,2.6,4932,4837,4851,26657,60615,87726,2.18,2.49,2.41,23.5,24.5,23.5,42.6,44.5,42.5,5.4,12.5,18.1,3929,3719,3628,6.784678,16.298736,24.180265,1.255281,1.300618,1.3371,160,2
61.6,60.9,58.9,5.6,5.2,5.8,6320,6262,6140,29676,57907,103813,1.95,1.94,2.23,19.9,20.6,21.4,42.1,43,43.4,4.7,9.2,16.9,6214,6112,5931,4.775668,9.474313,17.503456,1.017058,1.024542,1.035239,160,2
57.6,55.8,54.5,5,4.3,3.8,3216,3070,2887,12758,25059,44791,1.68,1.62,1.91,18.2,18.7,20.2,36.2,37.3,38.8,4,8.2,15.5,3392,3276,3105,3.761203,7.649267,14.425443,0.948113,0.937118,0.929791,111,2
32.2,31.7,30.8,5.5,5.7,4.8,6835,6351,5967,37761,75529,113325,2.26,2.32,2.35,23.6,25.8,26.8,42.9,46.6,46.4,5.5,11.9,19,7129,6879,6346,5.296816,10.979648,17.857706,0.95876,0.923245,0.940277,196,2
65.9,64.6,64.9,5.2,4.2,4.2,4947,4664,4632,24724,47334,79458,1.86,1.87,2.08,22.3,23.5,25.4,37.2,39.7,39.5,5,10.1,17.2,4470,4273,4765,5.531096,11.077463,16.675341,1.106711,1.091505,0.972088,142,2
36.4,36.3,35.2,6,6.3,6.3,7331,7132,6697,24676,48400,69834,1.49,1.52,1.47,17,17.9,17.7,42,42.3,42.4,3.4,6.8,10.4,6722,6430,6096,3.670931,7.527216,11.455709,1.090598,1.109176,1.098589,128,2
63.7,60.4,60.6,11.4,10.4,10.6,4730,4682,4375,18491,41060,62267,1.57,1.74,1.84,21.5,23.4,23.9,44.4,46.5,45,3.9,8.8,14.2,4137,4073,3678,4.469664,10.081021,16.929581,1.143341,1.149521,1.189505,127,2
53.9,50.4,49.8,4.3,3.8,3.8,8092,7446,7418,30872,59497,92624,1.59,1.66,1.73,17.8,20,20.1,37.8,40,39,3.8,8,12.5,7464,7023,6824,4.13612,8.471736,13.573271,1.084137,1.060231,1.087046,142,2
60.6,58.5,56.8,6.1,6.9,6.5,6497,6322,6026,31622,69208,94778,1.98,2.17,2.11,21.6,24.2,24,43.2,47,47.9,4.9,10.9,15.7,5946,5723,5462,5.318197,12.092958,17.352252,1.092667,1.104665,1.103259,163,2
33,30.9,30.4,5.1,5.8,4.7,5184,4952,4676,17688,32486,48285,1.22,1.23,1.21,15.3,15.2,15.9,30.4,31,34,3.4,6.6,10.3,5131,4999,4952,3.447281,6.4985,9.750606,1.010329,0.990598,0.944265,101,2
39.7,37.8,36.8,2.1,2,2.1,15561,14503,14311,40136,84125,123882,1.08,1.22,1.22,10.9,11.4,11.4,23.2,25.6,25.5,2.6,5.8,8.7,21767,20443,19866,1.843892,4.115101,6.23588,0.71489,0.709436,0.720377,147,2
62.5,60.6,61.4,6.4,6.7,6.4,6039,5990,5801,26142,58309,92672,1.7,1.94,2.14,20.6,22.6,24,43.6,44.5,45,4.3,9.7,16,5275,5364,5178,4.955829,10.870433,17.897258,1.144834,1.116704,1.120317,156,2
58.5,57.8,55.9,5.8,5.5,5.6,6309,5780,5616,30319,55798,89106,1.91,1.76,1.93,23.3,25.4,26.6,37.6,40.3,43.1,4.8,9.7,15.9,5419,5084,4895,5.594944,10.975216,18.203473,1.164237,1.1369,1.147293,147,2
60.1,58.5,57.8,5.8,5.7,5.5,6673,6475,6217,27588,60711,95395,1.9,2.06,2.23,18.5,20.6,21,39.5,39.2,37.7,4.1,9.4,15.3,6160,6149,5622,4.478571,9.873313,16.968161,1.083279,1.053017,1.105834,154,2
53.8,50.7,52.4,3.4,3.4,3.4,3434,2814,2528,15571,22802,30182,1.72,1.61,1.6,19.3,20.9,21.3,42.3,43.2,44.2,4.5,8.1,11.9,3707,2597,2149,4.200432,8.780131,14.044672,0.926356,1.083558,1.176361,104,2
34.7,32.1,33,1.7,1.8,1.9,7985,7228,6858,35236,69197,97588,1.43,1.59,1.65,23.1,24.5,23.7,42.8,42.8,44.1,4.4,9.6,14.2,11209,10204,9453,3.143545,6.78136,10.323495,0.712374,0.70835,0.725484,133,2
57.9,55.6,54.1,6.1,5.7,6.1,8104,7917,7446,38105,79099,117182,1.99,2,2.13,23,24.7,27.2,44.7,47.6,47.9,4.7,10,15.7,7611,7373,6935,5.006569,10.728197,16.897188,1.064775,1.073783,1.073684,164,2
67.4,66.2,65.1,4.7,3.8,3.7,5376,5037,4854,26775,49809,69139,2.08,2.03,1.94,21.1,23.3,23.7,42,43.9,42,5,9.9,14.2,4661,4485,4926,5.744475,11.105686,14.035526,1.153401,1.123077,0.985384,141,2
