fields,supports,top100,top200,diff
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTJP2017 > 47.65,"['0.28', '0.03']",0.28,0.03,0.25
pubTCP2017 > 24.65,"['0.30', '0.07']",0.3,0.07,0.22999999999999998
pubTCP2017 > 24.65,"['0.30', '0.07']",0.3,0.07,0.22999999999999998
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
h5Index > 172.50,"['0.38', '0.04']",0.38,0.04,0.34
pubTCP2016 > 24.05,"['0.39', '0.12']",0.39,0.12,0.27
pubTCP2016 > 24.05,"['0.39', '0.12']",0.39,0.12,0.27
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
citPP2017 > 10.15,"['0.40', '0.11']",0.4,0.11,0.29000000000000004
